Iba rumbo a su trabajo
Tenia problemas familiares antes de desaparecer
Salio de casa a realizar alguna actividad y ya no regreso
Se desconoce
Se encontraba en el trayecto de una comunidad o ciudad a otra
Se encontraba en su trabajo
Se le privo de su libertad por personas armadas en la calle
Se le privo de su libertad por personas armadas en su domicilio
Se le privo de su libertad por una corporacion policiana o militar
Se le vio en el domicilio de un familiar o conocido
Se le vio en una agencia del ministerio publico
Se trasladaba a su domicilio
Se vio en su domicilio
Ultimo contacto via telefonica o mensaje de texto
Victima de secuestro
Otro
