Abuela materna
Abuela paterna
Abuelo materno
Abuelo paterno
Amigo
Amiga
Companero
Companera
Esposo
Esposa
Concubina
Concubino
Cunado
Cunada
Hermano
Hermana
Hijastro
Hijastra
Hijo
Hija
Hijo adoptivo
Hija adoptiva
Madrastra
Madre
Madre adoptiva
Nieta materna
Nieta paterna
Nieto materno
Nieto paterno
Novio
Novia
Padrastro
Padre
Padre adoptivo
Prima
Primo
Sobrino
Sobrina
Suegra
Suegro
Tia
Tio
Yerno
Yerna
Otro
